Account ID,Account Age,Total Accrued
176A,22,3107
177A,28,6918
178A,14,1885
179A,35,17210
180A,11,1125
181A,19,3945
182A,42,33065
183A,27,9721
184A,27,8521
185A,16,1802
186A,20,4203
187A,48,43613
188A,16,1821
189A,16,2617
190A,49,41168
191A,43,34769
192A,46,31652
193A,38,21823
194A,17,2640
195A,28,8065
196A,31,10850
197A,40,26653
198A,40,26619
199A,28,7346
200A,27,5741
201A,36,16195
202A,48,36523
203A,22,5430
204A,21,5282
205A,14,1262
206A,40,24359
207A,38,23676
208A,25,5309
209A,24,6095
210A,16,1649
211A,37,16875
212A,48,41439
213A,10,281
214A,22,2820
215A,13,628
216A,22,4771
217A,29,11282
218A,23,3995
219A,25,5110
220A,12,708
221A,42,24642
222A,34,14190
223A,48,40188
224A,10,476
225A,10,198
226A,13,562
227A,11,290
228A,12,750
229A,13,1122
230A,20,3422
231A,15,2136
232A,18,2884
233A,18,2358
234A,11,914
235A,19,4185
236A,14,1289
237A,20,2862
238A,19,1800
239A,19,2386
240A,17,2604
241A,17,3206
242A,14,1947
243A,11,320
244A,12,1071
245A,19,4012
246A,18,2718
247A,14,610
248A,10,503
249A,19,2283
250A,19,4138
251A,15,1514
252A,12,1514
253A,19,3503
254A,10,359
255A,14,1610
256A,17,1991
257A,12,1200
258A,18,2191
259A,14,1860
260A,16,2168
261A,12,468
262A,16,2295
263A,18,2698
264A,11,459
265A,17,2223
266A,19,2467
267A,15,776
268A,14,946
269A,15,2241
270A,15,847
271A,17,1755
272A,15,870
273A,16,1432
274A,19,2481
275A,19,2316
276A,16,1512
277A,12,508
278A,17,1640
279A,14,1129
280A,19,2223
281A,14,1703
282A,10,900
283A,11,1055
284A,17,2453
285A,17,1384
286A,11,987
287A,10,407
288A,20,1999
289A,20,2871
290A,19,1871
291A,11,389
292A,32,9263
293A,34,12995
294A,14,813
295A,24,6046
296A,30,7984
297A,13,1040
298A,21,3180
299A,25,6712
300A,20,2886
301A,13,605
302A,30,11109
303A,18,3338
304A,10,806
305A,13,1404
306A,18,2990
307A,20,4020
308A,22,5833
309A,29,11500
310A,28,7397
311A,15,1567
312A,35,12748
313A,13,528
314A,24,4035
315A,32,12380
316A,12,584
317A,34,14727
318A,16,1687
319A,27,8006
320A,33,13789
321A,18,3129
322A,31,11385
323A,26,8296
324A,14,1487
325A,12,497
326A,18,3211
327A,22,4414
328A,12,646
329A,13,538
330A,12,1116
331A,19,4134
332A,16,2475
333A,11,1099
334A,13,1554
335A,33,14953
336A,11,821
337A,33,11142
338A,33,11257
339A,24,6509
340A,13,1093
341A,13,688
342A,33,14772
343A,33,16737
344A,31,10611
345A,29,8639
346A,15,1700
347A,17,1259
348A,33,16099
349A,20,4639
350A,19,2052
351A,35,17546
352A,11,1230
353A,34,17956
354A,11,816
355A,11,1253
356A,20,2421
357A,30,8735
358A,17,2943
359A,20,4127
360A,21,3473
361A,24,7310
362A,25,6478
363A,15,1278
364A,24,6946
365A,26,5623
366A,29,10638
367A,31,9165
368A,33,12325
369A,17,2812
370A,18,2015
371A,29,10350
372A,21,4019
373A,35,16658
374A,21,2905
375A,29,7913
376A,30,11030
377A,31,13300
378A,12,938
379A,28,5941
380A,17,3184
381A,12,811
382A,29,9998
383A,22,5850
384A,22,3648
385A,24,5596
386A,28,6668
387A,35,17299
388A,34,13631
389A,13,1637
390A,38,16644
391A,17,2504
392A,18,1642
393A,19,1724
394A,23,4616
395A,21,4711
396A,21,2458
397A,33,13666
398A,32,14022
399A,18,2704
400A,18,2983
401A,36,20550
402A,26,5076
403A,26,7125
404A,35,17910
405A,39,25498
406A,28,9745
407A,26,5994
408A,19,2096
409A,18,1932
410A,18,1698
411A,40,23381
412A,34,13070
413A,35,13065
414A,12,544
415A,19,3455
416A,26,6915
417A,17,2207
418A,37,17152
419A,29,8384
420A,31,11818
421A,26,9063
422A,30,11333
423A,11,1039
424A,36,14995
425A,37,16687
426A,26,8944
427A,11,1183
428A,20,3094
429A,17,2501
430A,10,704
431A,25,4636
432A,23,4911
433A,44,29747
434A,42,26247
435A,43,33184
436A,18,2582
437A,25,6994
438A,38,19189
439A,12,767
440A,29,10068
441A,41,28978
442A,45,35478
443A,33,15178
444A,32,9630
445A,35,14866
446A,17,1590
447A,23,6259
448A,12,1288
449A,48,46421
450A,18,1739
451A,29,10606
452A,11,779
453A,18,2888
454A,22,5345
455A,38,23549
456A,20,3404
457A,39,18369
458A,24,5373
459A,50,45617
460A,27,7979
461A,24,7233
462A,12,1095
463A,24,5386
464A,24,7000
465A,31,9974
466A,31,11668
467A,24,6920
468A,44,33649
469A,30,9201
470A,43,28270
471A,32,12083
472A,20,4369
473A,11,928
474A,41,21969
475A,24,4458
476A,48,40931
477A,10,275
478A,11,539
479A,37,20504
480A,48,44954
481A,46,32939
482A,13,1060
483A,30,9987
484A,36,13770
485A,34,17159
486A,15,1435
487A,13,659
488A,16,1881
489A,32,12450
490A,35,19418
491A,45,35177
492A,50,54354
493A,11,1006
494A,12,1349
495A,38,18648
496A,48,39954
497A,36,13713
498A,18,1916
499A,19,3849
500A,23,3626
501A,48,36033
502A,50,49745
503A,50,41888
504A,16,1352
505A,28,9108
506A,43,26381
507A,36,20507
508A,36,15697
509A,32,14227
510A,34,12448
511A,17,1607
512A,21,3481
513A,48,41373
514A,22,3765
515A,36,17937
516A,28,7764
517A,35,19871
518A,31,11660
519A,39,21548
520A,48,35733
521A,47,37568
522A,23,3667
523A,36,16371
524A,31,8796
525A,31,8742
526A,33,11164
527A,35,12456
528A,35,13005
529A,42,26342
530A,21,2427
531A,14,933
532A,24,5847
533A,14,889
534A,45,38117
535A,34,11880
536A,21,4589
537A,23,5900
538A,26,7938
539A,46,40400
540A,29,9311
541A,15,1931
542A,43,25835
543A,39,19955
544A,17,2190
545A,50,48538
546A,16,2277
547A,18,2024
548A,28,7830
549A,20,4205
550A,16,1940
551A,46,34335
552A,28,9828
553A,29,7653
554A,35,19954
555A,10,717
556A,35,14999
557A,30,9115
558A,35,15462
559A,15,1691
560A,10,984
561A,42,27108
562A,12,1447
563A,41,25273
564A,41,22183
565A,34,14477
566A,40,20739
567A,20,4542
568A,18,1828
569A,21,2845
570A,35,14599
571A,46,31992
572A,25,5008
573A,29,11434
574A,30,7479
575A,35,17503
576A,35,17210
577A,26,4904
578A,19,2524
579A,21,4479
580A,40,25238
581A,44,34632
582A,38,16460
583A,23,3603
584A,46,32527
585A,30,11633
586A,38,19892
587A,40,19698
588A,49,45126
589A,42,30389
590A,28,9660
591A,21,4874
592A,32,13850
593A,17,1808
594A,36,15928
595A,28,8838
596A,25,7247
597A,34,16277
598A,28,10910
599A,42,29076
600A,42,25978
601A,43,30183
602A,10,265
603A,21,3652
604A,16,2718
605A,29,10345
606A,15,1466
607A,14,1132
608A,29,8627
609A,29,10541
610A,26,4837
611A,15,1376
612A,25,6379
613A,29,10696
614A,42,25321
615A,27,7985
616A,43,32559
617A,17,2665
618A,39,24239
619A,18,2918
620A,13,1623
621A,30,9928
622A,32,12652
623A,42,28080
624A,29,8177
625A,31,12688
626A,43,25616
627A,22,2730
628A,47,38072
629A,21,4295
630A,17,2649
631A,32,11509
632A,20,4632
633A,29,10690
634A,33,12092
635A,48,43709
636A,33,14014
637A,36,16890
638A,46,41397
639A,38,22250
640A,25,5647
641A,39,20236
642A,33,15634
643A,33,16560
644A,19,3277
645A,32,15352
646A,10,320
647A,39,19349
648A,11,470
649A,16,1861
650A,37,20361
651A,36,17910
652A,27,5586
653A,35,17401
654A,15,1980
655A,13,1321
656A,17,2644
657A,20,3575
658A,10,295
659A,17,1452
660A,19,2007
661A,13,1100
662A,15,870
663A,17,1297
664A,20,2409
665A,15,1952
666A,16,973
667A,14,1271
668A,12,1180
669A,15,804
670A,15,2432
671A,16,1396
672A,15,1896
673A,13,556
674A,19,3982
675A,15,2203
676A,20,3457
677A,10,395
678A,17,2217
679A,13,710
680A,14,1494
681A,18,2829
682A,14,1564
683A,17,2173
684A,10,740
685A,13,1399
686A,20,4348
687A,20,2704
688A,18,2418
689A,13,1486
690A,10,214
691A,18,3575
692A,16,1457
693A,20,3309
694A,13,749
695A,15,1075
696A,12,924
697A,10,923
698A,16,2352
699A,12,477
700A,12,1289
701A,20,4211
702A,12,957
703A,10,621
704A,18,3000
705A,16,2258
706A,11,436
707A,10,205
708A,19,2338
709A,18,3723
710A,18,1616
711A,12,463
712A,19,2701
713A,16,2075
714A,14,1876
715A,17,2507
716A,19,4173
717A,13,1041
718A,14,997
719A,15,1024
720A,18,2496
721A,20,4026
722A,17,2330
723A,29,9944
724A,31,11735
725A,10,817
726A,22,5606
727A,11,459
728A,23,6720
729A,26,8763
730A,16,1236
731A,19,1849
732A,20,2544
733A,28,10444
734A,23,5628
735A,33,13247
736A,17,2186
737A,20,3667
738A,17,1308
739A,18,2448
740A,31,10526
741A,17,2543
742A,34,17916
743A,32,11382
744A,15,2182
745A,32,12365
746A,28,7868
747A,15,1027
748A,12,893
749A,21,2350
750A,16,1505
751A,11,695
752A,11,736
753A,29,7497
754A,17,2587
755A,17,1858
756A,10,458
757A,26,8095
758A,11,791
759A,23,4402
760A,14,1333
761A,28,8225
762A,17,2353
763A,30,11225
764A,14,1260
765A,30,7914
766A,18,1937
767A,31,9553
768A,29,11580
769A,19,3869
770A,34,17698
771A,23,6402
772A,16,2832
773A,30,10199
774A,19,2274
775A,19,4012
776A,16,2542
777A,28,8816
778A,33,13384
779A,16,2640
780A,23,5787
781A,10,663
782A,21,3459
783A,19,2117
784A,23,6536
785A,30,10913
786A,32,14047
787A,10,957
788A,35,17096
789A,13,701
790A,35,16738
791A,19,2579
792A,15,1857
793A,32,13119
794A,17,3066
795A,24,5930
796A,15,1185
797A,31,11069
798A,27,8007
799A,31,13036
800A,12,1121
801A,22,5014
802A,18,3329
803A,24,5722
804A,31,9159
805A,26,5078
806A,22,5541
807A,11,351
808A,19,2574
809A,29,12077
810A,35,16657
811A,33,16848
812A,19,3660
813A,10,797
814A,31,9524
815A,11,450
816A,12,829
817A,27,6077
818A,11,914
819A,34,13319
820A,38,19995
821A,16,1585
822A,12,881
823A,12,1469
824A,24,4330
825A,17,2678
826A,36,21042
827A,25,7804
828A,26,8591
829A,22,5890
830A,29,11894
831A,31,12073
832A,21,4104
833A,27,6490
834A,21,3026
835A,18,2848
836A,31,13131
837A,10,413
838A,15,1017
839A,34,11530
840A,31,11077
841A,20,3281
842A,13,1186
843A,27,7903
844A,40,19795
845A,35,15526
846A,28,10512
847A,19,3018
848A,38,20941
849A,36,15072
850A,33,16984
851A,30,9682
852A,15,2031
853A,23,3179
854A,40,27367
855A,19,3268
856A,19,1802
857A,13,483
858A,15,1468
859A,26,5750
860A,23,3435
861A,30,8230
862A,26,7705
863A,19,2537
864A,39,24521
865A,26,5488
866A,25,7252
867A,50,41632
868A,11,283
869A,10,565
870A,33,12760
871A,29,9204
872A,47,38470
873A,15,2275
874A,46,40888
875A,29,8893
876A,50,50586
877A,25,6051
878A,29,7593
879A,12,655
880A,16,1489
881A,16,2465
882A,49,40561
883A,10,746
884A,23,6013
885A,36,14105
886A,50,51328
887A,29,7977
888A,37,19227
889A,13,764
890A,18,2004
891A,49,50182
892A,22,4218
893A,31,12914
894A,48,37542
895A,45,32930
896A,23,5141
897A,25,5476
898A,12,850
899A,43,27778
900A,18,1915
901A,19,2927
902A,43,31591
903A,24,4788
904A,16,1074
905A,27,9976
906A,44,33389
907A,49,46279
908A,12,1249
909A,39,20165
910A,33,13560
911A,29,7022
912A,49,39720
913A,14,1653
914A,26,8060
915A,23,5820
916A,10,339
917A,23,3099
918A,46,40714
919A,11,980
920A,46,34691
921A,35,14338
922A,27,8530
923A,12,611
924A,34,14290
925A,17,2103
926A,15,1083
927A,48,42883
928A,20,2089
929A,42,26539
930A,30,12673
931A,17,2501
932A,34,12949
933A,16,1561
934A,18,1993
935A,28,7898
936A,47,41921
937A,28,11018
938A,35,19224
939A,10,381
940A,45,30102
941A,21,3463
942A,16,1298
943A,27,9662
944A,20,2400
945A,25,7099
946A,35,14411
947A,45,30805
948A,43,35053
949A,49,48423
950A,14,958
951A,49,46695
952A,36,21234
953A,29,11256
954A,44,29897
955A,26,6032
956A,37,18872
957A,30,9941
958A,31,14327
959A,15,2349
960A,22,5705
961A,23,4825
962A,46,37512
963A,13,703
964A,28,8219
965A,29,9736
966A,46,39687
967A,10,191
968A,50,46283
969A,49,42177
970A,42,30590
971A,35,18853
972A,49,50442
973A,29,8143
974A,41,27855
975A,41,28033
976A,42,24738
977A,18,2652
978A,42,29636
979A,22,2813
980A,17,3189
981A,35,15127
982A,24,4033
983A,14,629
984A,43,31552
985A,49,40720
986A,41,25084
987A,18,3102
988A,39,20926
989A,28,6262
990A,21,3485
991A,46,32786
992A,14,1608
993A,24,7413
994A,35,17725
995A,35,15163
996A,46,31184
997A,34,12470
998A,47,33275
999A,46,39033
1000A,25,4853
1001A,33,11602
1002A,40,23615
1003A,16,1685
1004A,38,20926
1005A,46,41863
1006A,50,48671
1007A,44,37276
1008A,48,35877
1009A,41,24103
1010A,36,16719
1011A,49,44807
1012A,23,5820
1013A,15,1402
1014A,37,19596
1015A,37,21623
1016A,27,8388
1017A,32,14162
1018A,47,33397
1019A,44,28052
1020A,40,20534
1021A,26,7329
1022A,14,686
1023A,42,27833
1024A,42,32207
1025A,26,4756
1026A,11,923
1027A,23,5337
1028A,40,20389
1029A,50,42170
1030A,12,1125
1031A,48,45579
1032A,15,820
1033A,13,888
1034A,33,14155
1035A,43,31955
1036A,15,2077
1037A,44,31861
1038A,24,6942
1039A,46,35691
1040A,37,19903
1041A,33,12496
1042A,26,6826
1043A,28,9406
1044A,16,2745
1045A,38,23699
1046A,24,6712
1047A,30,11067
1048A,34,13669
1049A,11,911
1050A,13,648
1051A,16,2755
1052A,24,5278
1053A,37,21336
1054A,16,2089
1055A,50,42280
1056A,14,1185
1057A,35,14039
1058A,26,9119
1059A,35,12740
1060A,30,12093
1061A,34,12101
1062A,42,31958
1063A,27,5924
1064A,24,4516
1065A,11,760
1066A,15,1152
1067A,49,39355
1068A,48,36526
1069A,38,24596
1070A,23,3122
1071A,23,5804
1072A,27,9994
1073A,47,41481
1074A,37,21620
1075A,44,27286
1076A,18,2022
1077A,15,2034
1078A,40,23235
1079A,36,17248
1080A,24,4955
1081A,17,2224
1082A,20,4093
1083A,50,53844
1084A,18,2737
1085A,19,2918
1086A,19,3455
1087A,17,1333
1088A,12,539
1089A,10,422
1090A,19,3279
1091A,11,321
1092A,11,741
1093A,13,613
1094A,11,1130
1095A,14,1739
1096A,20,3079
1097A,20,2930
1098A,17,1549
1099A,17,1833
1100A,13,1411
1101A,13,1559
1102A,11,467
1103A,13,703
1104A,20,4073
1105A,12,1382
1106A,13,639
1107A,12,830
1108A,15,2116
1109A,14,1718
1110A,12,826
1111A,16,1385
1112A,16,2526
1113A,10,272
1114A,14,822
1115A,14,638
1116A,16,2249
1117A,12,932
1118A,10,437
1119A,12,1233
1120A,15,2100
1121A,11,974
1122A,13,483
1123A,13,544
1124A,11,1163
1125A,11,366
1126A,16,2420
1127A,13,1025
1128A,19,3318
1129A,19,4041
1130A,11,286
1131A,10,900
1132A,19,3517
1133A,16,2316
1134A,18,2456
1135A,11,437
1136A,15,2462
1137A,16,2052
1138A,14,1168
1139A,11,446
1140A,13,1799
1141A,20,4165
1142A,12,862
1143A,19,3088
1144A,20,3240
1145A,11,1201
1146A,13,462
1147A,13,1496
1148A,20,4515
1149A,11,1261
1150A,15,2034
1151A,10,654
1152A,28,8261
1153A,13,1077
1154A,14,1040
1155A,24,3857
1156A,17,1861
1157A,13,1409
1158A,10,199
1159A,35,15584
1160A,21,4764
1161A,28,7827
1162A,24,4637
1163A,21,4472
1164A,26,6140
1165A,23,3464
1166A,27,8954
1167A,21,2461
1168A,15,1692
1169A,10,351
1170A,10,777
1171A,31,10533
1172A,21,5354
1173A,12,1300
1174A,28,10708
1175A,14,1011
1176A,29,10496
1177A,20,4689
1178A,30,10463
1179A,28,6580
1180A,15,1631
1181A,22,3755
1182A,14,2105
1183A,26,7407
1184A,28,6749
1185A,20,3525
1186A,23,4637
1187A,29,8919
1188A,27,9059
1189A,12,1322
1190A,24,4861
1191A,22,3108
1192A,32,12543
1193A,27,8142
1194A,22,4741
1195A,17,1576
1196A,27,9923
1197A,34,17563
1198A,10,423
1199A,30,11457
1200A,24,3981
1201A,32,12613
1202A,27,8360
1203A,37,15098
1204A,43,31639
1205A,32,11760
1206A,39,20017
1207A,16,1341
1208A,50,53752
1209A,50,43328
1210A,18,2846
1211A,11,356
1212A,41,22150
1213A,14,1539
1214A,11,934
1215A,49,43982
1216A,28,10281
1217A,48,45447
1218A,45,32901
1219A,41,24261
1220A,33,10651
1221A,32,11481
1222A,35,19952
1223A,19,3528
1224A,43,29178
1225A,38,24380
1226A,29,6673
1227A,18,2489
1228A,25,5906
1229A,38,16707
1230A,18,2389
1231A,17,1409
1232A,49,43234
1233A,24,5420
1234A,36,16670
1235A,41,21072
1236A,29,11061
1237A,37,17947
1238A,40,27377
1239A,29,11047
1240A,49,46485
1241A,12,875
1242A,35,13114
1243A,45,32648
1244A,22,5313
1245A,15,1536
1246A,43,27998
1247A,17,2414
1248A,40,24742
1249A,41,23887
1250A,11,521
1251A,40,25908
1252A,20,4783
1253A,46,39684
1254A,34,17988
1255A,31,13173
1256A,26,6193
1257A,39,24428
1258A,21,4868
1259A,24,4107
1260A,15,896
1261A,22,4112
1262A,14,803
1263A,17,1723
1264A,38,19327
1265A,44,34101
1266A,33,15556
1267A,18,2829
1268A,27,6823
1269A,49,44680
1270A,45,33403
1271A,25,7098
1272A,30,10094
1273A,13,1588
1274A,37,21003
1275A,50,53379
1276A,28,6900
1277A,26,6997
1278A,14,1375
1279A,42,25078
1280A,25,6781
1281A,21,3396
1282A,18,2549
1283A,30,10939
1284A,11,834
1285A,44,34966
1286A,49,50063
1287A,48,35542
1288A,11,617
1289A,20,2283
1290A,34,11935
1291A,12,377
1292A,21,5336
1293A,13,787
1294A,39,26219
1295A,29,9569
1296A,47,35457
1297A,24,4115
1298A,41,26881
1299A,27,6186
1300A,40,22565
1301A,29,7760
1302A,37,15564
1303A,12,1008
1304A,37,18696
1305A,16,2070
1306A,24,5521
1307A,12,1307
1308A,40,26909
1309A,46,33689
1310A,14,598
1311A,11,1148
1312A,44,35619
1313A,36,20946
1314A,35,19805
1315A,10,269
1316A,14,730
1317A,44,27064
1318A,14,1584
1319A,38,23661
1320A,27,5330
1321A,39,23116
1322A,11,791
1323A,15,2060
1324A,10,205
1325A,41,29009
1326A,19,1831
1327A,24,5368
1328A,30,11677
1329A,47,44725
1330A,30,11056
1331A,39,25550
1332A,18,2255
1333A,17,1279
1334A,11,753
1335A,16,1904
1336A,40,21469
1337A,33,14583
1338A,13,1417
1339A,44,34531
1340A,30,13213
1341A,15,1599
1342A,37,22560
1343A,30,7815
1344A,24,5090
1345A,23,4196
1346A,38,17961
1347A,40,26650
1348A,27,6891
1349A,31,13793
1350A,18,1488
1351A,13,570
1352A,27,7687
1353A,43,31541
1354A,10,859
1355A,16,1845
1356A,21,2668
1357A,43,26405
1358A,44,35654
1359A,49,43763
1360A,47,37235
1361A,47,43101
1362A,29,11357
1363A,35,13104
1364A,28,8479
1365A,27,8373
1366A,17,1201
1367A,10,1007
1368A,15,864
1369A,14,986
1370A,31,9216
1371A,37,19933
1372A,43,27463
1373A,34,12597
1374A,16,2575
1375A,21,5184
1376A,37,18557
1377A,23,6257
1378A,41,25195
1379A,14,1263
1380A,37,20901
1381A,10,831
1382A,17,1741
1383A,46,38399
1384A,48,45369
1385A,10,631
1386A,37,19801
1387A,12,857
1388A,41,24747
1389A,41,28987
1390A,40,23547
1391A,42,26016
1392A,19,2343
1393A,36,20590
1394A,48,43896
1395A,20,3285
1396A,37,18974
1397A,19,1706
1398A,27,9924
1399A,17,1570
1400A,19,1966
1401A,30,11870
1402A,30,8856
1403A,46,35855
1404A,24,4958
1405A,13,1762
1406A,21,2606
1407A,35,19588
1408A,11,1155
1409A,39,23739
1410A,14,1948
1411A,44,35684
1412A,14,1223
1413A,26,4663
1414A,32,15538
1415A,41,21938
1416A,44,34183
1417A,45,37480
1418A,40,27512
1419A,29,10413
1420A,37,16590
1421A,44,28807
1422A,49,44680
1423A,12,439
1424A,20,3974
1425A,16,1444
1426A,14,1922
1427A,19,2300
1428A,17,3245
1429A,19,3018
1430A,12,1024
1431A,18,1543
1432A,14,1428
1433A,18,1679
1434A,19,2215
1435A,12,1255
1436A,14,1175
1437A,12,1384
1438A,10,839
1439A,10,628
1440A,11,1005
1441A,10,220
1442A,18,3436
1443A,14,802
1444A,16,2010
1445A,11,840
1446A,14,1124
1447A,17,2096
1448A,19,2199
1449A,15,2389
1450A,15,2326
1451A,11,1014
1452A,17,2152
1453A,11,876
1454A,13,1737
1455A,11,733
1456A,18,3711
1457A,18,3240
1458A,17,1178
1459A,20,2151
1460A,18,2913
1461A,11,607
1462A,10,467
1463A,19,3195
1464A,17,2519
1465A,17,2602
1466A,16,1446
1467A,12,926
1468A,16,992
1469A,17,1138
1470A,18,3509
1471A,11,929
1472A,10,342
1473A,16,1691
1474A,15,2333
1475A,15,2201
1476A,12,809
1477A,15,1760
1478A,12,830
1479A,13,1379
1480A,16,2024
1481A,20,2826
1482A,16,2092
1483A,11,498
1484A,10,814
1485A,10,705
1486A,12,649
1487A,20,3947
1488A,20,3934
1489A,15,1695
1490A,18,2469
1491A,11,848
1492A,23,4269
1493A,28,6936
1494A,16,985
1495A,13,1341
1496A,13,537
1497A,13,1436
1498A,19,3423
1499A,26,6352
1500A,34,16504
1501A,33,10943
1502A,32,13919
1503A,25,6962
1504A,29,10830
1505A,34,16792
1506A,29,11975
1507A,15,1115
1508A,24,5070
1509A,31,8481
1510A,34,11787
1511A,18,2508
1512A,15,1344
1513A,26,6378
1514A,14,1292
1515A,26,7043
1516A,35,14639
1517A,33,15731
1518A,27,8310
1519A,20,2145
1520A,27,9529
1521A,18,2935
1522A,25,6253
1523A,12,486
1524A,31,9357
1525A,31,14431
1526A,32,9250
1527A,30,11161
1528A,13,1667
1529A,28,6979
1530A,28,6053
1531A,28,10154
1532A,28,9645
1533A,12,716
1534A,27,8716
1535A,30,12067
1536A,28,8785
1537A,20,3307
1538A,17,2266
1539A,29,6925
1540A,20,3185
1541A,13,999
1542A,26,6103
1543A,11,1128
1544A,24,6342
1545A,27,8618
1546A,21,4947
1547A,11,705
1548A,15,1482
1549A,14,1370
1550A,17,1444
1551A,27,8289
1552A,16,1278
1553A,27,9389
1554A,13,1323
1555A,16,1576
1556A,31,13519
1557A,19,2955
1558A,30,8627
1559A,20,2264
1560A,32,15086
1561A,29,8710
1562A,33,12110
1563A,31,11089
1564A,20,2894
1565A,33,15392
1566A,24,6763
1567A,12,1281
1568A,14,1045
1569A,15,2203
1570A,22,5352
1571A,25,5330
1572A,26,9160
1573A,19,2626
1574A,26,6419
1575A,28,10252
1576A,33,13795
1577A,21,3509
1578A,32,10396
1579A,23,6158
1580A,20,3395
1581A,30,9481
1582A,33,16269
1583A,31,13417
1584A,35,19822
1585A,19,2093
1586A,18,2760
1587A,35,19304
1588A,28,9310
1589A,21,5321
1590A,25,5775
1591A,14,1292
1592A,33,14401
1593A,12,874
1594A,34,11330
1595A,33,15785
1596A,24,3726
1597A,36,15490
1598A,32,12816
1599A,26,7865
1600A,22,4534
1601A,14,1799
1602A,38,23787
1603A,10,820
1604A,15,1199
1605A,37,18830
1606A,17,3052
1607A,32,9776
1608A,39,22556
1609A,33,16461
1610A,37,23022
1611A,18,2194
1612A,21,2829
1613A,36,21230
1614A,33,10975
1615A,10,365
1616A,11,817
1617A,31,11985
1618A,34,15238
1619A,20,2318
1620A,27,8629
1621A,32,14591
1622A,39,20936
1623A,17,2284
1624A,33,13634
1625A,18,1948
1626A,33,13770
1627A,13,463
1628A,20,3875
1629A,28,10384
1630A,13,748
1631A,35,16100
1632A,29,11458
1633A,45,34576
1634A,32,14488
1635A,30,11062
1636A,48,38992
1637A,43,31659
1638A,43,35164
1639A,25,6456
1640A,43,29652
1641A,31,12163
1642A,50,41442
1643A,14,2067
1644A,41,25748
1645A,38,21524
1646A,18,2381
1647A,50,54504
1648A,26,5827
1649A,19,3516
1650A,44,30191
1651A,13,1294
1652A,32,9427
1653A,48,38989
1654A,31,13814
1655A,20,2930
1656A,10,313
1657A,13,1623
1658A,31,8338
1659A,37,17781
1660A,27,7947
1661A,25,7233
1662A,22,6043
1663A,13,1250
1664A,18,3649
1665A,21,2812
1666A,24,7275
1667A,11,592
1668A,36,14860
1669A,30,7897
1670A,33,13710
1671A,10,376
1672A,37,17480
1673A,49,44821
1674A,29,11187
1675A,39,24502
1676A,12,411
1677A,33,16111
1678A,42,32284
1679A,31,13432
1680A,39,23986
1681A,45,33070
1682A,26,6854
1683A,23,6508
1684A,30,12233
1685A,17,1224
1686A,10,355
1687A,39,23961
