month_old_when_trained	mean_rescues_per_year	age_last_year	weight_last_year	rescues_last_year
35	17	8	17.67372786	37
27	22.9	5	16.6161373	29
7	25.5	4	18.493597	31
69	9.5	9	13.84227481	45
7	19.8	1	16.99057331	27
61	15.4	6	14.95064118	28
45	17.1	5	14.31368921	32
7	22.6	6	6.126198777	18
9	22.9	6	19.09770134	29
64	16	9	22.3858129	38
39	14.3	4	18.62422831	29
47	20.7	4	16.93543942	32
17	20.1	6	18.33855627	27
72	20.4	9	15.74163166	37
35	19.9	6	20.64880331	37
15	22.1	7	20.87668186	30
22	20.4	5	13.85592075	34
32	22.2	3	14.7477123	34
62	16.8	8	14.52421769	31
15	23.2	3	11.66335354	25
3	20.5	5	22.5557521	35
27	24.6	7	17.98831076	34
41	16	7	15.67261489	24
43	19.2	6	16.36328852	29
48	10.9	6	26.95750976	45
45	18.9	7	16.1308286	25
55	20.7	6	20.69873383	34
33	20.8	5	20.48600297	35
26	19.8	8	22.83226385	29
28	16.7	7	18.12152939	39
48	13.6	4	23.81630396	37
48	19.4	6	19.20613306	29
38	16.6	9	17.56606016	34
28	24	3	17.02983356	25
16	19.6	6	21.39703797	41
65	13.6	11	20.73659133	33
20	19.5	4	18.04720765	33
72	14.8	9	21.91604149	38
6	26.5	2	16.99352565	24
47	15.6	7	12.6326283	32
17	23.4	2	15.52871783	29
10	20.7	3	15.19045284	32
67	21.5	11	10.9982533	31
62	21.5	9	18.8815828	30
12	23.1	4	18.05385585	32
27	25.1	6	17.88795568	29
61	19.5	11	19.12946492	43
26	16.8	5	17.51036675	28
6	28.8	6	19.6307328	39
31	16.5	7	15.57912469	33
41	23.9	4	19.11953312	30
26	20.3	3	20.91256214	33
66	12.5	6	21.63630511	33
67	18.5	7	21.26849739	33
12	19.2	5	10.76175859	33
9	22.4	1	18.88101599	30
17	22	5	19.05505692	31
53	21.4	9	24.48549889	39
68	16.2	6	17.8898701	33
1	25.1	1	18.27047577	29
57	16.8	7	21.75140607	41
60	19	6	14.70769325	33
46	20.3	7	23.14305569	42
36	21.7	6	15.28812135	29
36	18.3	3	17.54713402	33
45	22.5	8	20.72450632	36
65	15.2	9	15.99253604	33
28	24	7	20.0174317	37
36	16.6	5	17.95760249	31
55	16.3	9	21.98497351	36
28	20.2	8	17.26028976	40
55	21.3	9	12.08690407	25
62	16.8	7	21.06464555	31
55	16.5	5	19.09804813	33
32	20.9	3	21.65577694	31
30	17.8	7	18.56465983	38
2	21.1	6	10.79112308	35
32	16.6	4	17.59230724	31
60	11	10	10.35366198	33
69	13	10	21.99042803	37
42	22.7	5	21.15438826	42
60	16.9	5	20.1718924	32
49	19.6	5	13.25849429	27
61	13.6	10	15.35674918	31
41	18.8	6	17.4201013	36
29	21.5	7	18.19348679	34
40	20.6	4	19.65690744	37
27	22.7	6	22.90527863	34
37	20.5	4	17.11694175	34
27	19.7	4	10.39138464	27
51	16.1	6	17.39224569	25
30	19.1	8	15.0600111	33
7	18	4	20.2831295	38
26	16.4	6	12.98554839	31
20	26.6	7	11.80795565	33
33	19.1	7	25.96687144	40
31	17.3	5	19.48836384	38
63	13.2	8	16.45759306	32
31	17.1	7	19.48187864	32
49	21	10	16.39582932	33
64	12.1	6	25.82846653	36
12	26.2	3	13.56135248	27
8	23.7	4	23.81428021	34
12	20	5	17.71576261	30
11	25.7	2	17.82635054	30
57	12.4	5	16.22912354	24
20	18.1	4	18.62707964	32
22	19.7	7	18.56886084	31
54	18.6	5	14.64740104	28
68	19.5	10	20.17809262	27
63	18.2	8	14.3573003	40
29	22.5	5	15.83837334	33
66	22.3	11	18.64765915	39
59	19.6	8	25.23852486	41
43	16	7	28.77047087	46
62	15	6	24.42418011	37
11	20	3	22.01977589	36
3	25	1	20.62014344	26
44	17.8	7	25.33941317	42
1	23.7	1	25.67509238	34
18	27.2	7	13.3768968	30
14	20.6	2	17.33244321	29
54	13.9	8	14.58547717	32
43	22.3	8	18.26131422	34
34	21.8	3	14.36319483	30
52	24.2	5	6.523563985	25
47	20.3	7	15.97393273	27
28	16	8	21.27239373	43
33	20.7	8	22.96128586	36
63	19.7	9	19.7581909	35
21	16	4	20.12886768	34
57	19.2	6	17.49548976	33
24	19.2	7	12.00681665	26
49	19.5	8	19.56636564	37
44	21.6	9	14.3005545	27
45	20.3	5	22.64446073	37
23	25	3	17.25487806	33
53	17.1	10	15.66304348	34
30	21.8	8	23.95792632	40
41	18.4	9	26.31310788	46
6	23.2	6	24.18734568	38
4	26.3	3	15.3335324	31
3	19	3	18.52542559	33
16	23.9	3	25.5615161	30
45	15.4	4	21.07165761	43
34	23	4	18.31591693	32
20	24.2	3	17.09582486	27
15	21.1	3	17.89815769	30
50	18.8	9	18.5744847	32
13	19.2	4	16.47531598	30
15	23.1	4	11.41063481	34
65	17.1	6	16.12002474	26
21	26	4	28.43227947	46
54	22.9	8	18.05361558	33
55	16.5	10	19.8407152	37
66	16.1	11	19.17050375	30
14	23.6	7	20.45326175	31
50	21	10	17.4053221	30
72	17.5	9	13.82604468	31
37	23.6	8	16.87696055	35
14	24	3	24.20671477	33
7	25.1	3	25.10424967	35
6	23.7	3	17.11554517	26
64	23.3	6	10.96495617	28
44	21	5	17.74501832	34
61	18.8	8	16.91512998	28
14	19.2	4	11.32723381	27
20	22.6	2	20.35171178	34
9	27.9	4	13.04494689	21
32	20.8	7	21.59906029	30
6	24.5	1	14.01262	22
69	19	6	18.19420871	38
17	20.9	6	15.51295831	30
44	14.1	6	11.36444454	26
37	14.3	9	18.24793961	43
7	20	1	21.94806079	27
28	22.3	6	23.59753804	32
19	19.7	2	22.39137525	30
69	14.5	8	20.45131866	40
68	21.2	10	8.75114822	33
7	18.4	3	21.42562142	33
11	21.3	2	26.65785012	37
13	21.7	6	17.02027416	30
20	22.3	3	14.91154712	29
